Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,WS
Brian Grant,C,30,MIA,82,82,32.2,4.2,8.2,.509,0.0,0.0,,4.2,8.2,.509,.509,1.9,2.5,.771,2.9,7.3,10.2,1.3,0.8,0.6,1.6,3.7,10.3,4.9
Tom Gugliotta,PF,33,PHO,27,11,16.6,2.2,4.9,.455,0.0,0.0,.000,2.2,4.9,.458,.455,0.3,0.3,1.000,0.9,2.8,3.7,1.1,0.5,0.2,1.1,1.3,4.8,0.3
Marcus Haislip,PF,22,MIL,39,8,11.3,1.7,3.9,.431,0.1,0.3,.250,1.6,3.6,.447,.441,0.7,1.0,.684,0.5,0.8,1.4,0.2,0.2,0.5,0.5,1.4,4.1,0.6
Darvin Ham,SG,29,ATL,75,1,12.3,0.9,2.1,.447,0.0,0.0,.000,0.9,2.1,.455,.447,0.5,1.1,.481,1.0,1.1,2.0,0.5,0.2,0.3,0.9,1.7,2.4,0.9
Richard Hamilton,SG,24,DET,82,82,32.2,7.0,15.7,.443,0.4,1.5,.269,6.6,14.2,.461,.456,5.4,6.4,.833,1.1,2.8,3.9,2.5,0.8,0.2,2.4,3.0,19.7,8.1
Anfernee Hardaway,SG,31,PHO,58,51,30.6,4.4,9.9,.447,0.4,1.3,.356,4.0,8.6,.460,.469,1.3,1.7,.794,1.1,3.3,4.4,4.1,1.1,0.4,2.5,2.6,10.6,2.0
Matt Harpring,SF,26,UTA,78,69,32.8,6.7,13.1,.511,0.8,2.1,.413,5.8,11.0,.529,.543,3.4,4.2,.792,2.4,4.2,6.6,1.7,0.9,0.2,2.1,2.8,17.6,2.8
Al Harrington,SF,22,IND,82,37,30.1,4.7,10.9,.434,0.2,0.6,.283,4.6,10.4,.442,.441,2.6,3.3,.770,1.9,4.3,6.2,1.5,0.9,0.4,2.0,3.4,12.2,5.9
Othella Harrington,PF,29,NYK,74,64,25.0,3.0,6.0,.508,0.0,0.0,,3.0,6.0,.508,.508,1.7,2.0,.820,2.2,4.2,6.4,0.8,0.2,0.3,1.2,3.1,7.7,0.8
Lucious Harris,SG,32,NJN,77,25,25.6,3.9,9.4,.413,0.6,1.8,.346,3.3,7.6,.429,.446,2.0,2.5,.804,0.8,2.2,3.0,2.0,0.7,0.1,0.9,1.2,10.3,2.5
Donnell Harvey,SF,22,DEN,77,27,20.9,3.2,7.2,.446,0.0,0.1,.143,3.2,7.1,.450,.447,1.5,2.3,.670,1.6,3.7,5.3,1.3,0.6,0.4,1.6,2.6,7.9,0.7
Trenton Hassell,SG,23,CHI,82,53,24.4,1.8,4.8,.367,0.2,0.5,.325,1.6,4.3,.372,.384,0.5,0.7,.745,0.5,2.7,3.1,1.8,0.5,0.7,1.0,2.4,4.2,4.0
Brendan Haywood,C,23,WAS,81,69,23.8,2.1,4.2,.510,0.0,0.0,,2.1,4.2,.510,.510,1.9,3.0,.633,2.4,2.6,5.0,0.4,0.4,1.5,0.8,2.8,6.2,3.8
Nenê Hilário,C,20,DEN,80,53,28.2,4.0,7.7,.519,0.0,0.0,.000,4.0,7.7,.521,.519,2.5,4.3,.578,2.6,3.5,6.1,1.9,1.6,0.8,2.3,3.7,10.5,6.1
Fred Hoiberg,SG,30,CHI,63,0,12.4,0.8,2.0,.389,0.1,0.3,.238,0.7,1.7,.419,.409,0.7,0.8,.820,0.2,2.0,2.2,1.1,0.6,0.1,0.4,0.9,2.3,6.1
Robert Horry,PF,32,LAL,80,26,29.3,2.3,6.0,.387,0.6,2.2,.288,1.7,3.7,.445,.440,1.3,1.7,.769,2.3,4.2,6.4,2.9,1.2,0.8,1.4,3.1,6.5,4.6
Eddie House,SG,24,MIA,55,7,18.6,3.1,8.1,.387,0.7,2.2,.300,2.5,5.9,.420,.428,0.6,0.7,.861,0.3,1.5,1.8,1.6,0.8,0.0,0.8,1.3,7.5,0.7
Allan Houston,SG,31,NYK,82,82,37.9,8.0,17.9,.445,2.2,5.5,.396,5.8,12.4,.467,.506,4.4,4.8,.919,0.3,2.5,2.8,2.7,0.7,0.1,2.2,2.3,22.5,3.1
Juwan Howard,PF,29,DEN,77,77,35.5,7.4,16.4,.450,0.0,0.1,.500,7.3,16.3,.449,.450,3.7,4.6,.803,2.4,5.2,7.6,3.0,1.0,0.4,2.5,3.1,18.4,3.6
Troy Hudson,PG,26,MIN,79,74,32.9,5.2,12.1,.428,1.2,3.4,.365,3.9,8.7,.452,.479,2.6,2.9,.900,0.5,1.8,2.3,5.7,0.8,0.1,2.3,2.0,14.2,0.6
Larry Hughes,PG,24,WAS,67,56,31.9,5.2,11.1,.467,0.4,1.2,.367,4.7,9.9,.479,.487,2.0,2.8,.731,1.0,3.6,4.6,3.1,1.3,0.4,2.0,2.2,12.8,3.8
Lindsey Hunter,PG,32,TOR,29,0,23.2,3.7,10.4,.351,1.2,3.7,.318,2.5,6.7,.369,.407,1.2,1.6,.723,0.5,1.5,2.0,2.4,1.2,0.2,2.0,1.7,9.7,0.9
Steven Hunter,C,21,ORL,33,5,13.5,1.7,3.1,.544,0.0,0.0,,1.7,3.1,.544,.544,0.5,1.3,.409,1.2,1.7,2.8,0.2,0.3,1.1,0.5,1.7,3.9,0.6
Zydrunas Ilgauskas,C,27,CLE,81,81,30.0,6.1,13.9,.441,0.0,0.1,.000,6.1,13.8,.443,.441,4.9,6.3,.781,3.0,4.6,7.5,1.6,0.7,1.9,2.6,3.4,17.2,7.8
Allen Iverson*,SG,27,PHI,82,82,42.5,9.8,23.7,.414,1.0,3.7,.277,8.8,20.0,.440,.436,7.0,9.0,.774,0.8,3.4,4.2,5.5,2.7,0.2,3.5,1.8,27.6,2.8
Bobby Jackson,PG,29,SAC,59,26,28.4,5.8,12.4,.464,1.5,4.0,.379,4.3,8.4,.505,.525,2.1,2.5,.846,1.0,2.7,3.7,3.1,1.2,0.1,1.8,2.1,15.2,3.1
Jim Jackson,SF,32,SAC,63,0,20.8,3.2,7.3,.442,0.5,1.1,.451,2.7,6.2,.440,.476,0.7,0.9,.855,1.3,2.8,4.2,1.9,0.5,0.1,1.3,2.1,7.7,6.6
Marc Jackson,C,28,MIN,77,0,13.5,2.0,4.5,.438,0.0,0.0,1.000,2.0,4.5,.437,.440,1.5,1.9,.765,1.1,1.8,2.9,0.5,0.3,0.4,0.8,1.8,5.5,1.3
Mark Jackson,PG,37,UTA,82,0,17.9,1.8,4.5,.398,0.3,1.2,.284,1.5,3.3,.438,.435,0.7,1.0,.763,0.4,1.7,2.1,4.6,0.6,0.0,1.9,1.1,4.7,0.4
Stephen Jackson,SG,24,SAS,80,58,28.2,4.5,10.2,.435,1.2,3.7,.320,3.3,6.5,.501,.493,1.7,2.3,.760,0.8,2.8,3.6,2.3,1.6,0.4,2.2,2.5,11.8,4.4
Casey Jacobsen,SF,21,PHO,72,0,15.9,1.7,4.5,.373,0.7,2.3,.315,1.0,2.3,.432,.453,1.0,1.5,.686,0.4,0.8,1.2,1.0,0.5,0.1,0.8,1.3,5.1,2.6
Jerome James,C,27,SEA,51,16,15.0,2.2,4.5,.478,0.0,0.0,,2.2,4.5,.478,.478,1.1,1.8,.587,1.5,2.7,4.2,0.5,0.2,1.6,1.5,3.3,5.4,0.7
Mike James,PG,27,MIA,78,8,22.1,2.8,7.5,.373,0.9,2.9,.294,1.9,4.6,.423,.430,1.3,1.8,.732,0.3,1.6,1.9,3.2,0.8,0.1,1.4,2.3,7.8,5.2
Antawn Jamison,SF,26,GSW,82,82,39.3,8.4,17.9,.470,0.8,2.5,.311,7.6,15.4,.496,.492,4.6,5.8,.789,2.4,4.7,7.0,1.9,0.9,0.5,2.2,2.4,22.2,9.0
Marko Jarić,SF,24,LAC,66,12,20.9,2.7,6.8,.401,0.8,2.5,.319,1.9,4.2,.450,.461,1.2,1.6,.752,0.5,1.9,2.4,2.9,1.5,0.2,1.6,1.9,7.4,1.5
Chris Jefferies,SF,22,TOR,51,10,13.1,1.5,3.8,.387,0.4,1.1,.333,1.1,2.7,.407,.433,0.6,0.8,.674,0.3,0.8,1.2,0.4,0.4,0.3,0.9,1.1,3.9,0.0
Richard Jefferson,SF,22,NJN,80,80,36.0,5.7,11.4,.501,0.1,0.3,.250,5.6,11.1,.507,.504,4.1,5.5,.743,1.9,4.6,6.4,2.5,1.0,0.6,2.0,2.7,15.5,11.0
Jared Jeffries,SF,21,WAS,20,1,14.6,1.5,3.2,.476,0.2,0.3,.500,1.4,2.9,.474,.500,0.8,1.5,.552,1.3,1.6,2.9,0.8,0.4,0.3,1.1,1.4,4.0,0.6
Anthony Johnson,PG,28,NJN,66,2,12.8,1.6,3.5,.446,0.2,0.5,.371,1.4,3.0,.459,.474,0.8,1.1,.689,0.2,1.0,1.2,1.3,0.6,0.1,0.6,1.4,4.1,3.6
Avery Johnson,PG,37,DAL,48,0,9.0,1.3,3.1,.420,0.0,0.0,.000,1.3,3.1,.426,.420,0.6,0.8,.769,0.2,0.4,0.6,1.3,0.3,0.0,0.6,0.5,3.3,0.2
Ervin Johnson,C,35,MIL,69,17,17.0,0.9,2.0,.452,0.0,0.0,,0.9,2.0,.452,.452,0.4,0.6,.682,1.7,2.6,4.3,0.3,0.5,0.9,0.5,2.6,2.2,2.3
Joe Johnson,SG,21,PHO,82,34,27.5,3.9,9.7,.397,0.9,2.5,.366,2.9,7.2,.408,.444,1.2,1.5,.774,0.7,2.5,3.2,2.6,0.8,0.2,1.3,1.7,9.8,3.3
Damon Jones,PG,26,SAC,49,1,14.5,1.6,4.3,.381,0.9,2.5,.364,0.7,1.8,.404,.486,0.4,0.6,.741,0.2,1.2,1.4,1.6,0.4,0.1,0.5,0.9,4.6,3.9
Eddie Jones,SG,31,MIA,47,47,38.1,6.2,14.6,.423,2.1,5.1,.407,4.1,9.5,.432,.494,4.0,4.9,.822,0.7,4.1,4.8,3.7,1.4,0.7,1.8,2.9,18.5,9.1
Jumaine Jones,SF,23,CLE,80,12,27.6,3.9,8.9,.434,1.4,3.9,.354,2.5,5.0,.497,.512,0.7,1.0,.687,1.3,3.7,5.1,1.4,0.8,0.3,1.3,2.2,9.8,0.1
Jason Kidd*,PG,29,NJN,80,80,37.4,6.4,15.6,.414,1.6,4.6,.341,4.9,10.9,.445,.465,4.2,5.0,.841,1.4,4.9,6.3,8.9,2.2,0.3,3.7,1.6,18.7,7.2
Andrei Kirilenko,SF,21,UTA,80,11,27.7,3.9,8.0,.491,0.5,1.4,.325,3.5,6.6,.527,.519,3.7,4.6,.800,1.8,3.4,5.3,1.7,1.5,2.2,1.7,2.3,12.0,11.6
Kerry Kittles,SG,28,NJN,65,57,30.0,5.1,10.9,.467,1.2,3.4,.356,3.9,7.6,.516,.522,1.6,2.1,.785,0.8,3.1,3.9,2.6,1.6,0.5,0.8,1.7,13.0,7.6
Brevin Knight,PG,27,MEM,55,4,16.9,1.8,4.1,.425,0.0,0.1,.250,1.7,4.0,.432,.430,0.4,0.7,.541,0.3,1.2,1.5,4.2,1.3,0.0,1.7,2.2,3.9,1.7
Toni Kukoč,PF,34,MIL,63,0,27.0,4.0,9.2,.432,1.5,4.2,.361,2.4,5.0,.490,.514,2.2,3.1,.706,1.1,3.2,4.2,3.7,1.3,0.5,1.9,2.1,11.6,3.1
Christian Laettner,PF,33,WAS,76,66,29.1,3.4,6.8,.494,0.0,0.2,.125,3.3,6.6,.506,.496,1.6,1.9,.833,1.5,5.1,6.6,3.1,1.1,0.5,1.1,2.7,8.3,2.3
Voshon Lenard,SG,29,TOR,63,24,30.6,5.2,12.8,.402,1.5,4.0,.365,3.7,8.8,.418,.459,2.5,3.1,.804,0.8,2.6,3.4,2.3,0.9,0.3,1.6,2.5,14.3,4.0
Rashard Lewis,SF,23,SEA,77,77,39.5,6.7,14.9,.452,1.0,2.8,.346,5.8,12.1,.476,.484,3.7,4.5,.820,2.0,4.6,6.5,1.7,1.3,0.5,1.9,2.7,18.1,6.5
Tyronn Lue,PG,25,WAS,75,24,26.5,3.3,7.6,.433,0.8,2.3,.341,2.5,5.3,.474,.485,1.2,1.4,.875,0.3,1.7,2.0,3.5,0.6,0.0,1.0,2.0,8.6,2.1
George Lynch,SG,32,NOH,81,32,18.5,1.8,4.4,.409,0.3,1.0,.354,1.5,3.5,.425,.448,0.5,0.9,.554,1.7,2.6,4.4,1.3,0.8,0.2,0.6,1.7,4.5,2.5
Mark Madsen,PF,27,LAL,54,22,14.5,1.3,3.0,.423,0.0,0.0,,1.3,3.0,.423,.423,0.7,1.1,.590,1.6,1.4,2.9,0.7,0.3,0.4,0.5,2.1,3.2,2.7
Corey Maggette,SG,23,LAC,64,57,31.3,5.4,12.1,.444,1.0,2.8,.350,4.4,9.3,.471,.484,5.1,6.3,.802,1.2,3.8,5.0,1.9,0.9,0.3,2.3,3.0,16.8,8.6
Jamaal Magloire,C,24,NOH,82,82,29.8,3.7,7.7,.480,0.0,0.0,.000,3.7,7.7,.483,.480,2.8,3.9,.717,3.2,5.7,8.8,1.1,0.6,1.4,1.9,3.4,10.3,7.6
Karl Malone*,PF,39,UTA,81,81,36.2,7.3,15.9,.462,0.0,0.2,.214,7.3,15.7,.464,.463,5.9,7.7,.763,1.4,6.4,7.8,4.7,1.7,0.4,2.6,2.5,20.6,4.3
Stephon Marbury,PG,25,PHO,81,81,40.0,8.3,18.9,.439,1.1,3.7,.301,7.2,15.2,.472,.468,4.6,5.8,.803,0.7,2.6,3.2,8.1,1.3,0.2,3.2,2.5,22.3,9.1
Shawn Marion,SF,24,PHO,81,81,41.6,8.2,18.1,.452,1.7,4.5,.387,6.4,13.6,.473,.500,3.1,3.6,.851,2.5,7.1,9.5,2.4,2.3,1.2,1.9,2.6,21.2,9.1
Donyell Marshall,PF,29,CHI,78,53,30.5,5.4,11.8,.459,0.4,1.1,.379,5.0,10.7,.467,.477,2.1,2.8,.756,3.0,6.0,9.0,1.8,1.2,1.1,1.7,3.0,13.4,10.4
Kenyon Martin,PF,25,NJN,77,77,34.1,6.6,14.1,.470,0.1,0.6,.209,6.5,13.5,.481,.475,3.3,5.1,.653,2.1,6.2,8.3,2.4,1.3,0.9,2.5,3.8,16.7,6.7
Desmond Mason,SF,25,TOT,80,40,34.5,5.7,12.7,.449,0.3,0.9,.292,5.5,11.8,.461,.460,2.7,3.5,.749,1.9,4.6,6.5,2.0,0.8,0.4,1.4,2.6,14.3,5.7
Tony Massenburg,C,35,UTA,58,1,13.7,1.8,4.0,.448,0.0,0.0,,1.8,4.0,.448,.448,1.1,1.4,.774,1.0,1.7,2.7,0.3,0.3,0.3,0.9,2.5,4.7,0.9
Walter McCarty,SF,28,BOS,82,8,23.8,2.1,5.1,.414,1.1,3.0,.367,1.0,2.1,.482,.523,0.7,1.2,.622,0.8,2.7,3.5,1.3,1.0,0.3,0.8,2.3,6.1,2.9
Tracy McGrady*,SG,23,ORL,75,74,39.4,11.1,24.2,.457,2.3,6.0,.386,8.7,18.2,.481,.505,7.7,9.7,.793,1.6,4.9,6.5,5.5,1.7,0.8,2.6,2.1,32.1,8.4
Jeff McInnis,PG,28,POR,75,1,17.5,2.5,5.6,.444,0.1,0.5,.171,2.4,5.2,.469,.452,0.7,0.9,.746,0.3,1.0,1.3,2.3,0.3,0.0,1.0,1.6,5.8,4.9
Aaron McKie,SF,30,PHI,80,40,29.7,3.6,8.3,.429,0.5,1.4,.330,3.1,6.9,.449,.457,1.4,1.7,.836,0.8,3.6,4.4,3.5,1.6,0.1,1.4,2.2,9.0,4.8
Stanislav Medvedenko,PF,23,LAL,58,10,10.7,1.9,4.4,.434,0.0,0.0,.000,1.9,4.4,.438,.434,0.5,0.7,.721,1.1,1.3,2.4,0.3,0.2,0.1,0.6,2.0,4.4,3.0
Ron Mercer,SG,26,IND,72,3,23.2,3.4,8.3,.409,0.0,0.2,.188,3.3,8.1,.415,.411,0.9,1.1,.802,0.4,1.7,2.1,1.6,0.7,0.2,0.8,1.7,7.7,0.4
Chris Mihm,C,23,CLE,52,0,15.6,2.2,5.5,.404,0.0,0.1,.000,2.2,5.5,.408,.404,1.5,2.0,.724,1.8,2.7,4.4,0.5,0.3,0.7,0.9,2.4,5.9,2.9
Darius Miles,SF,21,CLE,67,62,30.0,3.9,9.6,.410,0.0,0.2,.000,3.9,9.4,.419,.410,1.4,2.3,.594,1.7,3.7,5.4,2.6,1.0,1.0,2.7,2.4,9.2,3.6
Andre Miller,PG,26,LAC,80,80,36.4,4.7,11.6,.406,0.3,1.4,.213,4.4,10.3,.432,.419,3.9,4.9,.795,1.1,2.9,4.0,6.7,1.2,0.1,2.6,2.5,13.6,8.8
Brad Miller,C,26,IND,73,72,31.1,4.5,9.1,.493,0.1,0.2,.313,4.4,8.9,.498,.497,4.0,4.9,.818,2.5,5.7,8.3,2.6,0.9,0.6,1.6,2.8,13.1,10.0
Mike Miller,SF,22,TOT,65,52,33.6,5.7,13.2,.434,1.7,4.6,.363,4.1,8.6,.472,.498,2.4,2.9,.839,0.7,4.5,5.2,2.6,0.6,0.3,1.9,2.7,15.6,3.9
Reggie Miller*,SG,37,IND,70,70,30.2,4.0,9.1,.441,1.6,4.5,.355,2.4,4.6,.527,.530,3.0,3.3,.900,0.3,2.2,2.5,2.4,0.9,0.1,0.9,1.3,12.6,8.9
Yao Ming*,C,22,HOU,82,72,29.0,4.9,9.8,.498,0.0,0.0,.500,4.9,9.8,.498,.499,3.7,4.5,.811,2.4,5.8,8.2,1.7,0.4,1.8,2.1,2.8,13.5,11.4
Cuttino Mobley,SG,27,HOU,73,73,41.7,6.3,14.6,.434,1.5,4.4,.352,4.8,10.3,.469,.486,3.3,3.9,.858,1.0,3.2,4.2,2.8,1.3,0.5,2.3,2.5,17.5,7.6
Nazr Mohammed,C,25,ATL,35,0,12.7,1.9,4.5,.421,0.0,0.0,,1.9,4.5,.421,.421,0.7,1.2,.634,1.3,2.3,3.7,0.2,0.5,0.6,0.7,2.3,4.6,3.7
Jérôme Moïso,C,24,NOH,51,1,12.6,1.7,3.4,.520,0.0,0.0,,1.7,3.4,.520,.520,0.5,0.8,.659,1.2,2.3,3.5,0.4,0.4,0.9,0.9,1.7,4.0,0.8
Troy Murphy,PF,22,GSW,79,79,31.8,4.3,9.5,.451,0.0,0.2,.214,4.2,9.3,.456,.453,3.1,3.7,.841,2.9,7.3,10.2,1.3,0.8,0.4,1.4,3.1,11.7,1.3
Dikembe Mutombo*,C,36,NJN,24,16,21.4,2.0,5.5,.374,0.0,0.0,,2.0,5.5,.374,.374,1.7,2.3,.727,2.3,4.1,6.4,0.8,0.2,1.5,1.4,2.3,5.8,3.8
Mamadou N'Diaye,C,27,TOR,22,8,16.5,2.0,4.4,.448,0.0,0.0,,2.0,4.4,.448,.448,1.5,2.1,.723,1.3,2.4,3.7,0.3,0.4,1.5,1.0,2.6,5.5,0.8
Lee Nailon,SF,27,NYK,38,0,10.7,2.2,5.0,.442,0.0,0.0,.000,2.2,5.0,.444,.442,1.1,1.3,.824,0.8,1.0,1.8,0.7,0.2,0.1,0.8,1.2,5.5,0.7
Eduardo Nájera,SF,26,DAL,48,12,23.0,2.7,4.8,.558,0.0,0.0,.000,2.7,4.8,.561,.558,1.3,1.9,.681,1.9,2.8,4.6,1.0,0.8,0.5,0.5,2.7,6.7,1.1
Steve Nash*,PG,28,DAL,82,82,33.1,6.3,13.6,.465,1.4,3.3,.413,5.0,10.3,.482,.515,3.8,4.1,.909,0.8,2.1,2.9,7.3,1.0,0.1,2.3,1.6,17.7,8.8
Rasho Nesterović,C,26,MIN,77,77,30.4,5.2,9.9,.525,0.0,0.0,.000,5.2,9.9,.526,.525,0.8,1.2,.642,1.9,4.6,6.5,1.5,0.5,1.5,1.3,3.3,11.2,7.2
Ira Newble,SF,28,ATL,73,45,26.5,3.2,6.4,.495,0.4,1.2,.381,2.7,5.2,.520,.529,1.0,1.2,.778,1.2,2.5,3.7,1.4,0.7,0.4,0.9,2.4,7.7,0.1
Moochie Norris,PG,29,HOU,82,3,16.8,1.6,4.0,.406,0.1,0.5,.244,1.5,3.5,.432,.423,1.0,1.4,.684,0.5,1.5,1.9,2.4,0.7,0.0,1.0,0.9,4.4,0.8
Dirk Nowitzki,PF,24,DAL,80,80,39.0,8.6,18.6,.463,1.9,4.9,.379,6.8,13.7,.493,.513,6.0,6.9,.881,1.0,8.9,9.9,3.0,1.4,1.0,1.9,2.6,25.1,11.5
Jermaine O'Neal,PF,24,IND,77,76,37.2,7.9,16.4,.484,0.1,0.3,.333,7.8,16.1,.487,.487,4.8,6.6,.731,2.6,7.7,10.3,2.0,0.9,2.3,2.3,3.6,20.8,9.0
Shaquille O'Neal*,C,30,LAL,67,66,37.8,10.4,18.1,.574,0.0,0.0,,10.4,18.1,.574,.574,6.7,10.8,.622,3.9,7.2,11.1,3.1,0.6,2.4,2.9,3.4,27.5,9.9
Lamar Odom,SF,23,LAC,49,47,34.3,5.5,12.5,.439,0.9,2.6,.326,4.6,9.8,.469,.473,2.8,3.6,.777,1.2,5.4,6.7,3.6,0.9,0.8,2.9,3.7,14.6,8.4
Mehmet Okur,PF,23,DET,72,9,19.0,2.5,5.9,.426,0.5,1.6,.339,2.0,4.3,.457,.470,1.3,1.8,.733,1.6,3.0,4.7,1.0,0.3,0.5,0.9,2.3,6.9,5.9
Kevin Ollie,PG,30,TOT,82,5,23.1,2.4,5.4,.451,0.0,0.1,.333,2.4,5.3,.453,.454,1.6,2.2,.753,0.3,1.9,2.2,3.5,0.8,0.1,0.9,1.5,6.5,2.4
Michael Olowokandi,C,27,LAC,36,36,38.0,5.2,12.1,.427,0.0,0.0,,5.2,12.1,.427,.427,1.9,2.9,.657,1.6,7.5,9.1,1.3,0.5,2.2,2.7,3.1,12.3,1.2
Greg Ostertag,C,29,UTA,81,74,23.8,2.1,4.0,.518,0.0,0.0,,2.1,4.0,.518,.518,1.2,2.4,.510,2.2,4.0,6.2,0.7,0.2,1.8,1.3,2.9,5.4,5.0
Bo Outlaw,C,31,PHO,80,20,22.5,1.9,3.5,.550,0.0,0.0,.000,1.9,3.5,.554,.550,0.9,1.5,.621,1.7,2.9,4.6,1.4,0.6,0.9,1.0,2.4,4.7,3.6
Robert Pack,PG,33,NOH,28,4,15.7,1.9,4.6,.403,0.0,0.2,.000,1.9,4.4,.419,.403,1.5,2.0,.745,0.4,1.4,1.8,2.9,0.9,0.0,1.4,1.3,5.2,0.1
Scott Padgett,PF,26,UTA,82,2,16.1,2.1,5.2,.402,0.5,1.6,.338,1.5,3.5,.431,.455,1.0,1.3,.757,1.0,2.3,3.3,1.0,0.5,0.3,0.9,1.8,5.7,1.9
Milt Palacio,PG,24,CLE,80,46,24.7,2.0,4.9,.418,0.1,0.5,.216,1.9,4.4,.439,.428,0.8,1.1,.747,0.6,2.3,2.9,3.2,0.9,0.2,1.6,2.1,5.0,-0.5
Jannero Pargo,PG,23,LAL,34,0,10.1,1.1,2.7,.398,0.2,0.7,.292,0.9,2.0,.435,.435,0.1,0.1,1.000,0.3,0.8,1.1,1.1,0.4,0.1,0.7,1.3,2.5,0.1
Tony Parker,PG,20,SAS,82,82,33.8,5.9,12.7,.464,1.0,3.0,.337,4.9,9.8,.503,.503,2.7,3.5,.755,0.4,2.2,2.6,5.3,0.9,0.0,2.4,2.1,15.5,7.5
Ruben Patterson,SF,27,POR,78,17,21.2,3.3,6.6,.492,0.0,0.3,.150,3.2,6.4,.506,.495,1.8,2.8,.627,1.5,1.8,3.4,1.3,0.9,0.4,1.5,2.1,8.3,3.0
Gary Payton*,PG,34,TOT,80,80,40.1,8.3,18.3,.454,0.7,2.3,.297,7.6,16.1,.476,.472,3.1,4.4,.710,1.0,3.2,4.2,8.3,1.7,0.3,2.3,2.3,20.4,8.1
Anthony Peeler,SG,33,MIN,82,39,27.4,3.1,7.4,.414,1.1,2.6,.410,2.0,4.8,.416,.485,0.5,0.6,.780,0.5,2.5,2.9,3.0,0.9,0.2,1.0,2.0,7.7,2.2
Wesley Person,SG,31,MEM,66,44,29.4,4.2,9.1,.456,1.5,3.5,.433,2.6,5.6,.470,.539,1.2,1.5,.814,0.4,2.5,2.9,1.7,0.6,0.3,0.8,1.0,11.0,1.3
Morris Peterson,SF,25,TOR,82,80,36.0,5.1,13.1,.392,1.4,4.2,.337,3.7,8.9,.418,.446,2.4,3.0,.789,1.2,3.2,4.4,2.3,1.1,0.4,1.6,2.8,14.1,4.9
Eric Piatkowski,SG,32,LAC,62,26,21.9,3.4,7.2,.471,1.3,3.2,.398,2.1,4.0,.531,.561,1.6,2.0,.828,0.7,1.8,2.5,1.1,0.5,0.1,0.9,1.5,9.7,0.9
Paul Pierce,SG,25,BOS,79,79,39.2,8.4,20.2,.416,1.5,4.9,.302,6.9,15.2,.454,.454,7.6,9.5,.802,1.3,6.0,7.3,4.4,1.8,0.8,3.6,2.9,25.9,7.1
Scottie Pippen*,SF,37,POR,64,58,29.9,4.1,9.3,.444,0.6,2.1,.286,3.5,7.3,.489,.476,1.9,2.3,.818,0.9,3.5,4.3,4.5,1.6,0.4,2.6,2.3,10.8,0.3
Scot Pollard,C,27,SAC,23,0,14.1,1.7,3.8,.460,0.0,0.0,,1.7,3.8,.460,.460,1.0,1.7,.605,2.0,2.6,4.6,0.3,0.6,0.7,0.7,2.2,4.5,1.4
James Posey,SF,26,TOT,83,71,30.3,3.7,9.1,.411,0.8,2.8,.306,2.9,6.3,.457,.457,2.5,3.0,.833,1.1,4.0,5.1,2.2,1.3,0.2,1.7,2.4,10.8,10.0
Vitaly Potapenko,C,27,SEA,26,2,15.5,1.6,3.6,.441,0.0,0.0,,1.6,3.6,.441,.441,0.8,1.1,.759,1.0,2.5,3.4,0.2,0.3,0.3,1.0,1.8,4.0,1.1
Tayshaun Prince,SF,22,DET,42,5,10.4,1.3,2.8,.449,0.5,1.1,.426,0.8,1.7,.465,.534,0.3,0.4,.647,0.1,1.0,1.1,0.6,0.2,0.3,0.5,0.6,3.3,7.5
Vladimir Radmanović,PF,22,SEA,72,16,26.5,3.8,9.3,.410,1.4,4.1,.355,2.4,5.2,.453,.488,1.0,1.4,.706,1.1,3.4,4.5,1.3,0.9,0.3,1.4,1.9,10.1,4.2
Zach Randolph,PF,21,POR,77,11,16.9,3.4,6.7,.513,0.0,0.1,.000,3.4,6.6,.518,.513,1.6,2.1,.758,1.8,2.6,4.5,0.5,0.5,0.2,0.8,1.8,8.4,7.1
Theo Ratliff,C,29,ATL,81,81,31.1,3.4,7.3,.464,0.0,0.0,,3.4,7.3,.464,.464,1.9,2.6,.720,1.9,5.6,7.5,0.9,0.7,3.2,1.7,3.3,8.7,5.2
Željko Rebrača,C,30,DET,30,12,16.3,2.7,4.8,.552,0.0,0.0,,2.7,4.8,.552,.552,1.3,1.6,.792,0.9,2.2,3.1,0.3,0.2,0.6,1.0,2.6,6.6,0.5
Michael Redd,SG,23,MIL,82,14,28.2,5.5,11.8,.469,2.2,5.1,.438,3.3,6.8,.492,.562,1.8,2.3,.805,1.2,3.3,4.5,1.4,1.2,0.2,0.9,1.7,15.1,9.7
Jason Richardson,SG,22,GSW,82,82,32.9,5.8,14.2,.410,1.5,4.1,.368,4.3,10.1,.427,.463,2.5,3.3,.764,1.4,3.3,4.6,3.0,1.1,0.3,2.2,2.5,15.6,5.2
Quentin Richardson,SG,22,LAC,59,13,23.2,3.4,9.3,.372,1.0,3.4,.308,2.4,5.9,.408,.428,1.4,2.1,.685,1.7,3.1,4.8,0.9,0.6,0.2,1.1,1.6,9.4,2.4
